budget_month,region,category,budget_sales,budget_profit,budget_method,actual_sales,actual_profit,sales_variance,profit_variance,sales_variance_pct,profit_variance_pct,profit_status
2026-01-01,Central,Furniture,4112.54,265.93,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,2230.009,-256.17719999999997,-1882.531,-522.1071999999999,-0.4577538455553016,-1.9633256872109197,Unfavorable
2026-01-01,Central,Office Supplies,343.05,132.87,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,12704.288,1724.8841999999997,12361.238000000001,1592.0141999999996,36.03334207841423,11.9817430571235,Favorable
2026-01-01,Central,Technology,1961.94,177.4,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,6756.359,1397.2275,4794.419,1219.8274999999999,2.443713365342467,6.876141488162344,Favorable
2026-01-01,East,Furniture,1267.24,51.37,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,1278.841,-2.861099999999997,11.600999999999885,-54.2311,0.009154540576370605,-1.055695931477516,Unfavorable
2026-01-01,East,Office Supplies,2802.63,598.02,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,2985.375,327.01009999999997,182.7449999999999,-271.0099,0.06520482546750726,-0.4531786562322331,Unfavorable
2026-01-01,East,Technology,1489.89,367.65,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,1406.908,122.9204,-82.9820000000002,-244.72959999999998,-0.05569672928873957,-0.6656591867265061,Unfavorable
2026-01-01,South,Furniture,843.68,-25.92,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,481.856,-43.6488,-361.82399999999996,-17.7288,-0.42886402427460646,0.6839814814814814,Unfavorable
2026-01-01,South,Office Supplies,1799.1,807.39,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,578.2,9.705299999999998,-1220.8999999999999,-797.6847,-0.6786170863209382,-0.9879794151525285,Unfavorable
2026-01-01,South,Technology,1766.24,242.67,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,3755.5339999999997,744.2458,1989.2939999999996,501.5758000000001,1.1262874807500678,2.0669048502081018,Favorable
2026-01-01,West,Furniture,2079.5,149.55,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,2038.506,290.6769,-40.993999999999915,141.12689999999998,-0.01971339264246209,0.9436770310932796,Favorable
2026-01-01,West,Office Supplies,793.09,257.44,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,5019.585999999999,1203.9571,4226.495999999999,946.5171,5.329150537769987,3.6766512585456805,Favorable
2026-01-01,West,Technology,1077.86,328.29,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,5023.752,1713.6989,3945.8920000000007,1385.4089000000001,3.6608576252945664,4.220076456791252,Favorable
2026-02-01,Central,Furniture,425.99,-89.76,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,1204.4604,-327.3723,778.4703999999999,-237.6123,1.827438202774713,2.647195855614973,Unfavorable
2026-02-01,Central,Office Supplies,703.47,-53.67,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,1391.346,-608.0694,687.876,-554.3994,0.9778327434005714,10.329782001117943,Unfavorable
2026-02-01,Central,Technology,75.52,1.51,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,739.016,-63.74389999999999,663.496,-65.25389999999999,8.785699152542373,-43.21450331125827,Unfavorable
2026-02-01,East,Furniture,1473.99,170.3,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,1773.896,-84.5436,299.90599999999995,-254.8436,0.20346542378170812,-1.49643922489724,Unfavorable
2026-02-01,East,Office Supplies,1689.75,410.6,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,1514.8120000000001,314.7335,-174.93799999999987,-95.86650000000003,-0.10352892439710008,-0.2334790550414029,Unfavorable
2026-02-01,East,Technology,238.06,72.7,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,1679.8139999999999,264.2632,1441.754,191.5632,6.056263126942787,2.63498211829436,Favorable
2026-02-01,South,Furniture,1721.75,351.08,Prior-year actual + 8% sales growth; prior margin + 1 percentage point,788.674,62.853199999999994,-933.076,-288.22679999999997,-0.5419346595034122,-0.8209718582659222,Unfavorable
